iter	Passed	Remaining
200	361	1437
201	362	1432
202	363	1426
203	364	1421
204	365	1415
205	365	1410
206	366	1404
207	367	1400
208	368	1394
209	369	1389
210	370	1384
211	370	1378
212	371	1373
213	372	1369
214	374	1365
215	375	1361
216	376	1357
217	377	1352
218	378	1348
219	379	1344
220	380	1340
221	381	1335
222	382	1331
223	383	1327
224	384	1323
225	385	1318
226	386	1317
227	387	1313
228	389	1309
229	390	1305
230	391	1302
231	392	1298
232	393	1294
233	394	1290
234	395	1286
235	396	1282
236	397	1279
237	398	1275
238	399	1271
239	400	1267
240	401	1264
241	402	1260
242	403	1256
243	404	1252
244	405	1249
245	406	1245
246	407	1241
247	408	1238
248	409	1234
249	410	1230
250	411	1227
251	412	1223
252	413	1219
253	414	1217
254	415	1214
255	416	1210
256	417	1207
257	418	1203
258	419	1199
259	420	1196
260	421	1192
261	422	1189
262	423	1185
263	424	1182
264	424	1178
265	425	1175
266	427	1173
267	428	1170
268	429	1167
269	430	1164
270	431	1161
271	432	1158
272	433	1154
273	434	1151
274	435	1148
275	436	1145
276	437	1142
277	438	1139
278	439	1135
279	440	1132
280	441	1130
281	442	1127
282	443	1124
283	444	1121
284	445	1118
285	446	1115
286	447	1112
287	448	1109
288	449	1106
289	450	1103
290	451	1100
291	452	1097
292	453	1095
293	455	1092
294	456	1090
295	457	1087
296	458	1085
297	459	1082
298	460	1079
299	461	1076
300	462	1073
301	463	1070
302	464	1067
303	465	1064
304	466	1062
305	467	1059
306	468	1056
307	469	1053
308	469	1050
309	471	1049
310	472	1046
311	473	1044
312	474	1041
313	475	1038
314	476	1035
315	477	1032
316	478	1030
317	479	1027
318	480	1024
319	480	1022
320	481	1019
321	482	1016
322	483	1014
323	485	1012
324	486	1010
325	487	1007
326	488	1005
327	489	1002
328	490	999
329	491	997
330	492	994
331	493	992
332	493	989
333	494	986
334	495	984
335	496	981
336	497	979
337	499	978
338	500	975
339	501	973
340	502	970
341	503	968
342	504	966
343	505	963
344	506	961
345	507	959
346	508	956
347	509	953
348	509	951
349	510	948
350	511	946
351	512	943
352	514	942
353	515	940
354	516	937
355	517	935
356	518	933
357	519	931
358	520	929
359	521	926
360	522	924
361	523	922
362	524	919
363	525	917
364	526	915
365	527	913
366	529	912
367	530	910
368	531	908
369	532	906
370	533	904
371	534	901
372	535	899
373	536	897
374	537	895
375	538	893
376	539	891
377	540	888
378	541	886
379	542	885
380	543	882
381	544	880
382	545	878
383	546	876
384	547	874
385	548	872
386	549	870
387	550	868
388	551	865
389	552	863
390	553	861
391	554	859
392	555	857
393	556	856
394	557	853
395	558	851
396	559	849
397	560	847
398	561	845
399	562	844
400	563	842
401	564	840
402	565	838
403	566	836
404	567	833
405	568	832
406	569	830
407	571	828
408	572	826
409	572	824
410	573	822
411	574	820
412	575	818
413	576	816
414	577	814
415	578	812
416	579	810
417	580	808
418	581	806
419	582	804
420	583	802
421	584	800
422	586	799
423	587	797
424	588	795
425	589	794
426	590	792
427	591	790
428	592	788
429	593	786
430	593	784
431	594	782
432	595	780
433	596	778
434	597	776
435	598	774
436	600	773
437	601	771
438	602	769
439	603	767
440	604	765
441	605	764
442	606	762
443	607	760
444	608	758
445	609	756
446	610	755
447	611	753
448	612	751
449	613	750
450	614	748
451	615	746
452	616	744
453	617	742
454	618	740
455	619	739
456	620	737
457	621	735
458	622	733
459	623	731
460	624	729
461	625	728
462	626	726
463	627	725
464	628	723
465	629	721
466	630	720
467	631	718
468	632	716
469	633	714
470	634	712
471	635	711
472	636	709
473	637	707
474	638	705
475	639	704
